Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
Italy,Nocera Superiore,56,Moderate,1,Good,56,Moderate,1,Good,50,Good,40.7417,14.6722
Italy,Noicattaro,60,Moderate,1,Good,46,Good,3,Good,60,Moderate,41.0333,16.9833
France,Noisiel,62,Moderate,1,Good,25,Good,4,Good,62,Moderate,48.8547,2.6289
United States of America,North Fort Myers,54,Moderate,1,Good,16,Good,10,Good,54,Moderate,26.7244,-81.8485
United States of America,North Tonawanda,36,Good,1,Good,27,Good,4,Good,36,Good,43.0457,-78.8659
Mauritania,Nouadhibou,157,Unhealthy,0,Good,36,Good,0,Good,157,Unhealthy,20.9333,-17.0333
Russian Federation,Novouralsk,30,Good,1,Good,30,Good,0,Good,27,Good,57.25,60.0833
France,Noyon,76,Moderate,1,Good,31,Good,3,Good,76,Moderate,49.5811,2.9989
Russian Federation,Nurlat,49,Good,1,Good,28,Good,0,Good,49,Good,54.4333,50.8
Denmark,Nuuk,23,Good,1,Good,23,Good,0,Good,17,Good,64.1814,-51.6942
United States of America,Oak Creek,52,Moderate,2,Good,26,Good,11,Good,52,Moderate,42.8803,-87.9009
Japan,Ojiya,31,Good,1,Good,31,Good,2,Good,20,Good,37.3144,138.7951
Ukraine,Okhtyrka,40,Good,1,Good,40,Good,1,Good,24,Good,50.3074,34.9016
United States of America,Old Saybrook,58,Moderate,2,Good,30,Good,9,Good,58,Moderate,41.3017,-72.3857
India,Nattam,67,Moderate,1,Good,34,Good,1,Good,67,Moderate,10.2249,78.231
United States of America,Collinsville,98,Moderate,3,Good,5,Good,24,Good,98,Moderate,38.677,-90.0063
France,Colombes,31,Good,1,Good,28,Good,2,Good,31,Good,48.9236,2.2522
Peru,Concepcion,24,Good,0,Good,5,Good,1,Good,24,Good,15.3249,120.6554
Peru,Concepcion,24,Good,0,Good,5,Good,1,Good,24,Good,11.2,123.1
Peru,Concepcion,24,Good,0,Good,5,Good,1,Good,24,Good,8.4167,123.6
Brazil,Contagem,156,Unhealthy,6,Good,0,Good,9,Good,156,Unhealthy,-19.9319,-44.0539
United States of America,Coral Gables,63,Moderate,1,Good,12,Good,13,Good,63,Moderate,25.7037,-80.2715
Canada,Corner Brook,35,Good,1,Good,35,Good,0,Good,25,Good,48.9287,-57.926
